SK_ID_CURR,TARGET
102166,0.02
102174,0.08
102193,0.11
102198,0.09
102205,0.1
102206,0.09
102218,0.05
102221,0.04
102230,0.03
102238,0.1
102248,0.07
102252,0.17
102259,0.22
102262,0.1
102273,0.1
102286,0.12
102293,0.04
102294,0.05
102296,0.05
102298,0.13
102303,0.02
102309,0.03
102315,0.14
102340,0.12
102342,0.18
102344,0.09
102346,0.09
102347,0.33
102374,0.07
102380,0.05
102387,0.15
102393,0.03
102403,0.06
102413,0.11
102414,0.02
102415,0.04
102416,0.07
102439,0.1
102441,0.06
102443,0.07
102444,0.08
102445,0.12
102448,0.16
102449,0.03
102450,0.1
102456,0.02
102458,0.08
102459,0.09
102465,0.07
102470,0.19
102471,0.02
102475,0.07
102476,0.05
102506,0.11
102509,0.02
102519,0.09
102522,0.06
102545,0.03
102549,0.1
102562,0.04
102563,0.07
102568,0.05
102582,0.04
102592,0.02
102597,0.1
102605,0.06
102614,0.11
102617,0.09
102634,0.07
102652,0.03
102655,0.06
102671,0.08
102694,0.18
102701,0.14
102703,0.01
102704,0.04
102713,0.08
102720,0.16
102731,0.01
102733,0.05
102749,0.06
102755,0.14
102763,0.09
102770,0.09
102772,0.07
102799,0.23
102838,0.08
102854,0.1
102862,0.08
102863,0.09
102867,0.05
102868,0.12
102878,0.03
102887,0.05
102898,0.17
102904,0.1
102912,0.08
102919,0.07
102927,0.1
102932,0.08
102933,0.08
102935,0.18
102958,0.05
102969,0.09
102971,0.01
102975,0.02
102979,0.04
102982,0.01
102987,0.11
102989,0.11
102995,0.14
102996,0.13
103000,0.07
103001,0.13
103004,0.07
103010,0.1
103025,0.12
103029,0.08
103046,0.06
103056,0.07
103062,0.13
103078,0.07
103083,0.11
103092,0.03
103096,0.01
103097,0.12
103102,0.11
103112,0.19
103132,0.03
103144,0.19
103145,0.08
103146,0.14
103147,0.17
103158,0.21
103171,0.09
103173,0.16
103184,0.07
103195,0.14
103196,0.17
103206,0.03
103230,0.08
103231,0.07
103232,0.02
103239,0.12
103240,0.11
103243,0.07
103252,0.06
103258,0.1
103259,0.09
103279,0.1
103280,0.03
103286,0.04
103287,0.27
103290,0.03
103298,0.11
103315,0.08
103319,0.02
103334,0.05
103336,0.1
103345,0.02
103368,0.04
103371,0.16
103377,0.26
103398,0.03
103404,0.02
103408,0.25
103410,0.05
103418,0.09
103420,0.19
103432,0.05
103433,0.06
103436,0.04
103440,0.05
103453,0.04
103459,0.12
103460,0.08
103461,0.0
103462,0.21
103473,0.29
103474,0.04
103475,0.1
103478,0.1
103480,0.08
103484,0.04
103494,0.15
103513,0.12
103515,0.04
103516,0.13
103525,0.1
103541,0.13
103544,0.04
103562,0.11
103570,0.15
103572,0.07
103574,0.02
103575,0.04
103591,0.12
103594,0.06
103609,0.08
103613,0.09
103614,0.33
103615,0.16
103624,0.08
103625,0.1
103628,0.15
103629,0.08
103647,0.06
103648,0.06
103651,0.08
103658,0.07
103668,0.09
103669,0.08
103676,0.08
103682,0.04
103683,0.08
103689,0.03
103725,0.05
103733,0.09
103744,0.04
103762,0.06
103771,0.16
103773,0.14
103783,0.05
103784,0.11
103808,0.12
103812,0.07
103813,0.12
103814,0.05
103818,0.16
103824,0.07
103828,0.03
103830,0.17
103840,0.04
103842,0.09
103847,0.08
103848,0.09
103851,0.03
103854,0.15
103857,0.14
103861,0.02
103862,0.11
103865,0.25
103870,0.07
103876,0.03
103891,0.19
103908,0.02
103914,0.12
103918,0.08
103940,0.07
103963,0.12
103966,0.17
103971,0.05
103980,0.12
103984,0.17
103985,0.04
103998,0.18
104019,0.01
104026,0.06
104035,0.06
104044,0.08
104045,0.09
104047,0.22
104051,0.06
104058,0.15
104063,0.02
104066,0.11
104087,0.02
104089,0.05
104095,0.02
104098,0.12
104104,0.06
104110,0.25
104120,0.14
104122,0.01
104131,0.09
104132,0.14
104135,0.09
104136,0.06
104149,0.07
104150,0.08
104156,0.16
104165,0.14
104175,0.04
104179,0.06
104184,0.1
104206,0.08
104216,0.2
104230,0.1
104257,0.09
104272,0.06
104273,0.04
104278,0.09
104294,0.13
104295,0.14
104297,0.06
104298,0.06
104308,0.11
104318,0.03
104319,0.17
104320,0.09
104327,0.03
104334,0.12
104344,0.09
104350,0.02
104351,0.13
104354,0.06
104369,0.13
104376,0.12
104381,0.05
104384,0.07
104391,0.07
104394,0.06
104398,0.21
104402,0.06
104408,0.08
104409,0.09
104410,0.14
104412,0.12
104417,0.1
104424,0.04
104426,0.04
104435,0.19
104445,0.14
104458,0.03
104460,0.02
104466,0.05
104472,0.02
104473,0.08
104479,0.08
104480,0.03
104482,0.07
104499,0.04
104501,0.09
104502,0.04
104506,0.05
104510,0.01
104512,0.28
104520,0.11
104528,0.06
104529,0.05
104541,0.07
104578,0.15
104584,0.06
104588,0.06
104602,0.08
104610,0.07
104611,0.09
104618,0.12
104620,0.05
104622,0.04
104624,0.08
104625,0.11
104634,0.09
104639,0.09
104646,0.05
104647,0.07
104652,0.07
104670,0.1
104677,0.07
104685,0.2
104691,0.08
104696,0.12
104699,0.1
104712,0.13
104714,0.11
104717,0.13
104718,0.04
104740,0.02
104741,0.09
104743,0.07
104744,0.22
104747,0.11
104767,0.07
104772,0.17
104776,0.1
104779,0.05
104814,0.03
104815,0.02
104830,0.09
104831,0.07
104833,0.09
104839,0.03
104840,0.05
104860,0.12
104861,0.16
104866,0.02
104870,0.04
104877,0.07
104878,0.11
104879,0.06
104880,0.05
104899,0.09
104906,0.02
104907,0.15
104913,0.13
104916,0.16
104921,0.14
104930,0.05
104931,0.09
104936,0.01
104937,0.05
104942,0.05
104943,0.03
104969,0.12
104972,0.16
104988,0.11
105013,0.08
105015,0.06
105019,0.07
105027,0.17
105030,0.03
105035,0.12
105041,0.18
105051,0.05
105056,0.07
105067,0.14
105071,0.12
105072,0.07
105074,0.07
105091,0.06
105101,0.03
105103,0.05
105134,0.01
105139,0.04
105142,0.16
105146,0.03
105163,0.02
105168,0.1
105172,0.05
105176,0.21
105195,0.07
105196,0.09
105197,0.07
105203,0.07
105223,0.11
105227,0.09
105228,0.06
105230,0.16
105231,0.09
105239,0.04
105242,0.07
105244,0.04
105245,0.02
105248,0.13
105249,0.04
105266,0.06
105271,0.08
105276,0.07
105282,0.03
105292,0.06
105297,0.06
105332,0.14
105333,0.2
105343,0.09
105344,0.14
105345,0.09
105357,0.04
105359,0.13
105366,0.06
105367,0.05
105370,0.1
105377,0.03
105390,0.08
105399,0.04
105403,0.07
105404,0.03
105414,0.06
105417,0.03
105425,0.09
105452,0.17
105454,0.09
105456,0.1
105470,0.01
105471,0.09
105483,0.19
105493,0.09
105508,0.13
105514,0.05
105515,0.12
105528,0.08
105529,0.09
105531,0.05
105532,0.1
105558,0.04
105574,0.05
105578,0.07
105584,0.1
105595,0.09
105617,0.12
105618,0.08
105621,0.06
105625,0.13
105629,0.08
105630,0.03
105634,0.07
105635,0.05
105641,0.07
105647,0.11
105648,0.06
105655,0.1
105657,0.07
105672,0.06
105678,0.08
105682,0.09
105691,0.04
105692,0.03
105706,0.12
105712,0.09
105720,0.04
105734,0.03
105735,0.04
105736,0.1
105737,0.07
105738,0.07
105740,0.16
105744,0.14
105747,0.09
105749,0.23
105754,0.05
105758,0.06
105760,0.16
105767,0.05
105784,0.08
105791,0.05
105802,0.16
105807,0.21
105809,0.06
105816,0.07
105817,0.07
105824,0.09
105832,0.04
105856,0.04
105865,0.14
105899,0.11
105906,0.12
105916,0.05
105923,0.1
105937,0.03
105965,0.04
105966,0.1
105968,0.08
105973,0.01
105976,0.24
105978,0.04
105979,0.05
105991,0.1
105998,0.12
105999,0.03
106000,0.14
106001,0.09
106010,0.07
106011,0.24
106013,0.1
106015,0.15
106026,0.04
106032,0.12
106035,0.08
106040,0.09
106041,0.07
106044,0.06
106053,0.27
106054,0.04
106065,0.1
106081,0.06
106083,0.05
106087,0.06
106090,0.07
106101,0.08
106102,0.09
106109,0.07
106116,0.06
106150,0.08
106155,0.09
106166,0.05
106176,0.02
106189,0.05
106199,0.1
106205,0.1
106206,0.14
106211,0.09
106214,0.14
106216,0.1
106217,0.07
106225,0.08
106249,0.19
106256,0.07
106258,0.05
106261,0.01
106262,0.26
106264,0.06
106271,0.04
106276,0.05
106277,0.14
106286,0.12
106293,0.07
106295,0.07
106296,0.08
106297,0.13
106298,0.1
106311,0.01
106314,0.05
106320,0.04
106334,0.09
106346,0.21
106347,0.02
106349,0.08
106354,0.05
106360,0.04
106373,0.1
106377,0.08
106386,0.08
106387,0.06
106391,0.02
106401,0.07
106411,0.09
106413,0.16
106426,0.07
106427,0.19
106428,0.11
106434,0.07
106438,0.11
106440,0.07
106441,0.1
106452,0.13
106453,0.07
106454,0.05
106457,0.11
106484,0.18
106488,0.08
106491,0.09
106514,0.16
106527,0.14
106528,0.11
106529,0.05
106534,0.13
106550,0.11
106577,0.06
106585,0.07
106590,0.07
106607,0.06
106610,0.06
106611,0.07
106612,0.06
106624,0.04
106631,0.02
106647,0.29
106660,0.1
106674,0.09
106687,0.13
106712,0.08
106713,0.07
106717,0.13
106720,0.11
106721,0.11
106724,0.04
106735,0.09
106739,0.06
106740,0.09
106754,0.06
106760,0.16
106761,0.07
106784,0.11
106787,0.04
106797,0.03
106798,0.09
106802,0.07
106803,0.12
106804,0.18
106805,0.03
106810,0.06
106812,0.16
106813,0.18
106817,0.05
106822,0.05
106823,0.04
106827,0.03
106841,0.09
106851,0.22
106852,0.08
106853,0.09
106854,0.17
106861,0.09
106873,0.08
106877,0.08
106878,0.02
106881,0.05
106900,0.0
106906,0.14
106907,0.1
106914,0.11
106916,0.03
106924,0.09
106931,0.04
106936,0.11
106937,0.24
106938,0.03
106939,0.03
106943,0.13
106944,0.15
106967,0.05
106980,0.09
106986,0.1
106987,0.06
106990,0.04
107013,0.09
107023,0.03
107033,0.15
107037,0.15
107048,0.07
107071,0.08
107081,0.03
107113,0.19
107130,0.11
107131,0.06
107145,0.08
107156,0.07
107219,0.12
107222,0.05
107223,0.23
107232,0.12
107245,0.02
107246,0.04
107247,0.09
107256,0.03
107259,0.08
107260,0.08
107279,0.2
107280,0.03
107281,0.2
107285,0.04
107329,0.06
107337,0.24
107349,0.1
107350,0.09
107351,0.06
107359,0.14
107391,0.09
107394,0.17
107395,0.12
107406,0.03
107416,0.06
107417,0.09
107418,0.07
107419,0.09
107444,0.02
107445,0.07
107446,0.06
107460,0.13
107470,0.05
107475,0.07
107520,0.03
107526,0.11
107527,0.2
107530,0.03
107532,0.09
107534,0.07
107535,0.09
107554,0.17
107556,0.06
107559,0.06
107561,0.06
107564,0.04
107566,0.04
107571,0.04
107590,0.11
107602,0.22
107625,0.05
107626,0.12
107635,0.07
107636,0.15
107645,0.06
107652,0.22
107655,0.07
107668,0.02
107670,0.04
107677,0.05
107680,0.11
107683,0.1
107684,0.17
107691,0.07
107692,0.1
107703,0.08
107709,0.01
107710,0.13
107721,0.19
107725,0.05
107727,0.07
107739,0.04
107740,0.11
107741,0.1
107747,0.11
107765,0.1
107768,0.09
107775,0.11
107782,0.1
107790,0.15
107801,0.08
107807,0.15
107811,0.06
107817,0.05
107826,0.04
107838,0.16
107839,0.09
107843,0.14
107847,0.09
107849,0.09
107850,0.2
107867,0.07
107871,0.07
107908,0.06
107913,0.12
107927,0.03
107931,0.05
107955,0.14
107962,0.06
107977,0.14
107978,0.15
107993,0.03
108010,0.15
108016,0.05
108018,0.11
108027,0.09
108045,0.14
108069,0.09
108082,0.06
108089,0.14
108092,0.03
108106,0.07
108112,0.04
108120,0.09
108122,0.09
108135,0.11
108170,0.05
108171,0.03
108177,0.06
108180,0.06
108183,0.02
108184,0.04
108185,0.06
108192,0.06
108195,0.08
108196,0.03
108218,0.04
108219,0.12
108243,0.1
108249,0.07
108251,0.05
108274,0.06
108280,0.19
108289,0.09
108292,0.06
108295,0.05
108327,0.08
108332,0.08
108346,0.09
108349,0.08
108353,0.11
108362,0.15
108363,0.09
108377,0.2
108378,0.07
108381,0.09
108383,0.08
108390,0.08
108407,0.04
108408,0.09
108411,0.13
108412,0.07
108419,0.05
108436,0.19
108437,0.1
108438,0.02
108441,0.04
108448,0.2
108449,0.07
108466,0.06
108467,0.11
108473,0.19
108474,0.1
108476,0.08
108479,0.03
108486,0.11
108493,0.03
108501,0.05
108506,0.06
108510,0.08
108511,0.09
108514,0.02
108517,0.03
108519,0.03
108522,0.04
108548,0.22
108554,0.11
108555,0.09
108559,0.02
108562,0.07
108571,0.02
108572,0.02
108579,0.06
108583,0.02
108584,0.09
108592,0.07
108602,0.02
108609,0.09
108613,0.13
108616,0.07
108618,0.11
108620,0.07
108643,0.04
108649,0.0
108654,0.09
108655,0.01
108656,0.02
108667,0.11
108668,0.07
108682,0.1
108690,0.12
108691,0.16
108692,0.09
108695,0.06
108699,0.07
108710,0.1
108718,0.07
108739,0.16
108740,0.09
108741,0.04
108742,0.07
108763,0.08
108767,0.14
108769,0.08
108779,0.09
108788,0.07
108801,0.04
108802,0.02
108810,0.11
108811,0.04
108813,0.07
108814,0.12
108825,0.04
108826,0.12
108830,0.09
108834,0.03
108852,0.1
108887,0.04
108901,0.14
108908,0.06
108910,0.05
108920,0.13
108922,0.12
108929,0.09
108930,0.05
108937,0.03
108938,0.06
108943,0.14
108948,0.03
108953,0.06
108956,0.13
108965,0.07
108985,0.09
108986,0.09
108987,0.1
108990,0.06
108991,0.13
108993,0.25
109000,0.14
109001,0.11
109012,0.21
109014,0.08
109015,0.08
109021,0.02
109037,0.04
109042,0.13
109044,0.11
109046,0.24
109064,0.05
109084,0.09
109086,0.06
109092,0.05
109093,0.07
109100,0.09
109101,0.05
109110,0.07
109114,0.11
109126,0.24
109152,0.05
109162,0.11
109167,0.08
109168,0.14
109169,0.04
109179,0.1
109184,0.04
109191,0.08
109192,0.05
109193,0.07
109196,0.07
109206,0.18
109210,0.08
109244,0.12
109249,0.11
109273,0.03
109276,0.12
109281,0.04
109287,0.07
109297,0.12
109298,0.03
109306,0.05
109309,0.14
109321,0.16
109328,0.15
109336,0.06
109342,0.07
109346,0.06
109347,0.02
109348,0.09
109362,0.06
109363,0.09
109367,0.06
109370,0.05
109393,0.09
109405,0.06
109413,0.05
109414,0.28
109421,0.08
109427,0.12
109428,0.08
109429,0.11
109437,0.1
109443,0.1
109461,0.07
109468,0.14
109469,0.05
109471,0.06
109479,0.05
109484,0.02
109501,0.18
109505,0.05
109535,0.06
109539,0.08
109544,0.09
109545,0.01
109551,0.11
109553,0.1
109555,0.08
109561,0.11
109580,0.07
109583,0.09
109593,0.1
109604,0.05
109620,0.06
109635,0.11
109637,0.1
109638,0.07
109642,0.09
109649,0.05
109652,0.06
109656,0.06
109663,0.09
109696,0.12
109700,0.14
109709,0.12
109735,0.09
109740,0.09
109741,0.05
109749,0.07
109764,0.02
109771,0.17
109772,0.06
109773,0.13
109798,0.11
109802,0.1
109804,0.11
109813,0.1
109818,0.08
109848,0.16
109850,0.02
109851,0.07
109855,0.03
109871,0.16
109877,0.05
109883,0.07
109886,0.03
109905,0.08
109936,0.05
109950,0.09
109958,0.06
109959,0.09
109969,0.08
109971,0.01
109984,0.06
109985,0.2
109988,0.07
109992,0.02
110005,0.11
110009,0.03
110011,0.15
110014,0.05
110026,0.04
110042,0.04
110058,0.05
110069,0.11
110080,0.07
110087,0.1
110091,0.11
110094,0.05
110098,0.12
110105,0.08
110117,0.18
110136,0.04
110138,0.13
110149,0.06
110164,0.03
110202,0.16
110212,0.06
110226,0.02
110236,0.05
110249,0.08
110257,0.04
110258,0.02
110277,0.05
110282,0.02
110284,0.11
110286,0.05
110289,0.02
110304,0.07
110319,0.07
110324,0.09
110326,0.07
110335,0.09
110337,0.08
110338,0.09
110343,0.02
110345,0.02
110347,0.07
110355,0.03
110359,0.02
110360,0.07
110364,0.11
110371,0.2
110372,0.08
110376,0.05
110379,0.13
110380,0.1
110393,0.04
110401,0.18
110406,0.04
110411,0.05
110416,0.05
110420,0.04
110443,0.09
110465,0.11
110468,0.08
110469,0.05
110471,0.09
110487,0.17
110491,0.04
110504,0.08
110547,0.05
110550,0.09
110559,0.03
110578,0.15
110582,0.13
110590,0.04
110598,0.22
110601,0.24
110602,0.05
110604,0.1
110625,0.17
110626,0.1
110636,0.14
110637,0.11
110638,0.04
110646,0.06
110648,0.09
110652,0.01
110681,0.08
110682,0.14
110687,0.13
110691,0.13
110694,0.03
110695,0.07
110696,0.04
110708,0.09
110710,0.02
110717,0.18
110730,0.13
110740,0.04
110742,0.06
110747,0.05
110761,0.05
110766,0.03
110769,0.12
110774,0.07
110803,0.03
110805,0.05
110809,0.15
110827,0.25
110832,0.04
110839,0.09
110859,0.05
110861,0.13
110863,0.16
110865,0.16
110881,0.07
110889,0.03
110891,0.05
110894,0.08
110895,0.06
110907,0.11
110914,0.06
110933,0.02
110934,0.07
110937,0.06
110953,0.03
110954,0.12
110958,0.14
110970,0.07
110974,0.02
110977,0.13
110989,0.03
110993,0.12
110994,0.17
111018,0.05
111019,0.04
111030,0.06
111032,0.03
111041,0.08
111045,0.05
111048,0.28
111052,0.01
111070,0.14
111084,0.08
111091,0.05
111104,0.07
111108,0.03
111112,0.07
111127,0.07
111142,0.07
111146,0.06
111165,0.01
111168,0.13
111169,0.13
111172,0.07
111173,0.05
111174,0.05
111175,0.26
111176,0.01
111177,0.06
111180,0.04
111182,0.01
111192,0.06
111194,0.12
111196,0.05
111197,0.03
111198,0.08
111205,0.05
111207,0.08
111222,0.09
111228,0.06
111233,0.07
111256,0.02
111258,0.05
111262,0.07
111263,0.05
111267,0.04
111269,0.17
111276,0.03
111277,0.07
111279,0.06
111290,0.06
111294,0.03
111295,0.12
111315,0.15
111318,0.12
111327,0.05
111328,0.09
111332,0.09
111338,0.06
111343,0.08
111344,0.03
111345,0.22
111347,0.07
111356,0.15
111359,0.1
111367,0.06
111368,0.08
111391,0.15
111408,0.05
111412,0.04
111419,0.23
111422,0.13
111423,0.09
111439,0.04
111452,0.15
111456,0.06
111467,0.15
111478,0.09
111482,0.09
111488,0.19
111503,0.19
111510,0.03
111512,0.07
111518,0.09
111532,0.09
111537,0.06
111541,0.07
111544,0.13
111550,0.12
111554,0.11
111560,0.1
111566,0.1
111567,0.12
111592,0.1
111618,0.22
111620,0.07
111627,0.09
111641,0.12
111646,0.18
111652,0.05
111657,0.03
111664,0.16
111665,0.04
111669,0.06
111673,0.08
111687,0.03
111688,0.06
111689,0.09
111694,0.03
111695,0.13
111698,0.04
111703,0.02
111709,0.08
111712,0.02
111715,0.06
111724,0.11
111730,0.04
111747,0.1
111760,0.07
111761,0.08
111763,0.04
111776,0.13
111777,0.04
111781,0.09
111793,0.01
111804,0.29
111810,0.11
111816,0.05
111818,0.02
111830,0.12
111832,0.02
111841,0.03
111842,0.07
111843,0.25
111846,0.1
111848,0.09
111856,0.02
111857,0.1
111877,0.0
111882,0.08
111883,0.1
111891,0.13
111893,0.07
111901,0.03
111912,0.09
111913,0.02
111955,0.05
111958,0.12
111960,0.07
111967,0.07
112000,0.1
112003,0.13
112015,0.08
112019,0.21
112020,0.04
112028,0.11
112029,0.07
112031,0.16
112039,0.11
112042,0.04
112049,0.12
112052,0.12
112054,0.06
112055,0.17
112063,0.1
112070,0.28
112071,0.06
112080,0.16
112083,0.11
112085,0.06
112089,0.08
112098,0.09
112100,0.07
112105,0.05
112124,0.06
112126,0.04
112127,0.04
112128,0.08
112148,0.05
112149,0.04
112165,0.06
112170,0.08
112171,0.05
112176,0.13
112186,0.02
112199,0.11
112203,0.01
112214,0.09
112215,0.09
112216,0.08
112224,0.11
112225,0.05
112231,0.08
112234,0.17
112235,0.02
112236,0.13
112254,0.12
112265,0.14
112271,0.04
112284,0.07
112287,0.23
112295,0.06
112303,0.26
112307,0.09
112310,0.03
112312,0.07
112313,0.07
112326,0.1
112333,0.1
112334,0.08
112339,0.03
112347,0.05
112350,0.02
112356,0.15
112357,0.06
112359,0.06
112360,0.18
112371,0.08
112385,0.02
112392,0.04
112401,0.09
112405,0.09
112414,0.11
112429,0.1
112448,0.11
112467,0.05
112468,0.09
112469,0.09
112491,0.06
112500,0.08
112510,0.11
112535,0.08
112537,0.06
112551,0.11
112552,0.03
112556,0.07
112577,0.07
112590,0.11
112593,0.07
112596,0.03
112601,0.03
112604,0.07
112622,0.06
112655,0.07
112663,0.04
112667,0.1
112670,0.03
112676,0.06
112677,0.05
112679,0.06
112683,0.03
112688,0.06
112692,0.19
112696,0.07
112702,0.07
112709,0.08
112720,0.07
112735,0.02
112738,0.16
112742,0.09
112748,0.1
112749,0.02
112766,0.05
112767,0.06
112769,0.09
112771,0.06
112775,0.02
112794,0.12
112795,0.05
112796,0.05
112815,0.03
112817,0.08
112821,0.1
112822,0.09
112829,0.1
112831,0.07
112835,0.13
112838,0.12
112842,0.09
112844,0.16
112845,0.03
112846,0.0
112847,0.02
112867,0.08
112868,0.11
112874,0.09
112879,0.08
112882,0.05
112886,0.07
112895,0.08
112896,0.09
112902,0.13
112904,0.08
112917,0.12
112932,0.11
112944,0.02
112946,0.04
112947,0.05
112948,0.09
112966,0.15
112967,0.11
112971,0.06
112973,0.13
112974,0.09
112978,0.14
112988,0.09
112992,0.15
113003,0.08
113004,0.04
113007,0.11
113020,0.13
113025,0.1
113032,0.12
113042,0.11
113047,0.12
113066,0.03
113067,0.13
113071,0.07
113087,0.11
113108,0.03
113109,0.05
113123,0.05
113128,0.13
113134,0.11
113151,0.2
113175,0.2
113181,0.09
113188,0.3
113191,0.03
113193,0.27
113201,0.09
113209,0.04
113222,0.09
113248,0.04
113272,0.06
113276,0.03
113287,0.04
113302,0.07
113308,0.14
113316,0.08
113318,0.04
113320,0.12
113322,0.08
113325,0.08
113326,0.15
113332,0.15
113346,0.13
113352,0.03
113361,0.04
113362,0.03
113365,0.1
113366,0.03
113368,0.05
113382,0.06
113385,0.06
113390,0.07
113391,0.05
113393,0.12
113396,0.15
113397,0.07
113402,0.13
113403,0.02
113405,0.03
113406,0.08
113410,0.37
113413,0.11
113418,0.04
113419,0.25
113435,0.26
113438,0.17
113447,0.08
113458,0.07
113466,0.02
113475,0.05
113482,0.2
113490,0.06
113505,0.03
113508,0.04
113520,0.02
113532,0.02
113535,0.06
113549,0.05
113557,0.08
113558,0.05
113561,0.09
113566,0.05
113569,0.08
113574,0.03
113576,0.12
113577,0.03
113585,0.04
113587,0.11
113599,0.12
113601,0.16
113602,0.07
113605,0.11
113609,0.13
113611,0.06
113616,0.05
113627,0.11
113631,0.06
113643,0.08
113652,0.05
113657,0.11
113659,0.03
113672,0.1
113680,0.07
113692,0.17
113694,0.1
113695,0.14
113701,0.06
113733,0.03
113738,0.19
113740,0.17
113742,0.02
113777,0.04
113783,0.03
113788,0.16
113789,0.1
113791,0.09
113795,0.04
113799,0.07
113805,0.02
113820,0.03
113822,0.02
113824,0.04
113829,0.04
113832,0.03
113833,0.06
113841,0.0
113849,0.07
113862,0.12
113863,0.12
113864,0.09
113870,0.02
113875,0.05
113882,0.02
113887,0.02
113894,0.07
113909,0.03
113930,0.08
113936,0.12
113939,0.09
113942,0.06
113943,0.09
113945,0.07
113947,0.04
113950,0.07
113951,0.14
113957,0.05
113966,0.07
113967,0.12
113977,0.18
113984,0.12
113986,0.11
113992,0.06
113998,0.03
113999,0.15
114003,0.11
